Market,Client/Sponsor,Project ,Due Date,Task,Complete,Team,ME,Deployment,Notes,Missed Deadline
Dermatology,Skinceuticals,EP PIA,"Monday, December 9, 2024",Skinceuticals selects preferred article focus and NP or PA to be featured; editorial completes initial reach out,TRUE,JE,JE,,Late from Friday ,FALSE
Dermatology,Skinceuticals,EP PIA,"Thursday, December 12, 2024",SkinCeuticals provides any product line-specific literature that should be passed on to KOL,TRUE,JE,JE,,,FALSE
Dermatology,Skinceuticals,EP PIA,"Friday, December 13, 2024",Review questions submitted to SkinCeuticals for review,TRUE,JE,JE,,,FALSE
Dermatology,Incyte/Opzelura,EP AD,"Friday, December 20, 2024",New 2025 OPZ AD Display Banners due,TRUE,JE,JE,,,FALSE
Dermatology,Incyte/Opzelura,EP VIT,"Friday, December 20, 2024",New 2025 OPZ VIT Display Banners due,TRUE,JE,JE,,,FALSE
Dermatology,Skinceuticals,EP PIA,"Friday, December 20, 2024",Questions finalized and sent to KOL for interview prep,TRUE,JE,JE,,,FALSE
Dermatology,Skinceuticals,EP PIA,"Monday, December 30, 2024",Interview with SkinC KOL Jen Puleo,TRUE,JE,JE,,,FALSE
Dermatology,Incyte/Opzelura,EP AD,"Wednesday, January 1, 2025",Update 2025 OPZ AD Banners on JCADTV,TRUE,JE,JE,,,FALSE
Dermatology,Incyte/Opzelura,EP VIT,"Wednesday, January 1, 2025",Update 2025 OPZ VIT Banners on JCADTV,TRUE,JE,JE,,,FALSE
Dermatology,Ortho/Cabtreo,NPPA/PIA,"Wednesday, January 1, 2025",Place Cabtreo 728x90 and 300x250 ads on NPPA homepage,TRUE,AV,AV,,,FALSE
Oncology,AZ/Tagrisso,Custom Email,"Thursday, January 2, 2025",Tagrisso January CE (FLAURA2) materials due,TRUE,"AV, AT",AV,,,FALSE
Oncology,Lilly/Verzenio,Custom Email,"Thursday, January 2, 2025",Verzenio January CE materials due,TRUE,"AV, AT",AV,,,FALSE
Dermatology,None,JCAD Journal,"Friday, January 3, 2025",JCAD Feb25 Copyedit Complete,TRUE,GV,JE,,,FALSE
Dermatology,None,JCAD Journal,"Friday, January 3, 2025",Send JDR JCAD Feb25 Articles,TRUE,JE,JE,,,FALSE
Dermatology,None,JCADTV Unsponsored,"Friday, January 3, 2025",Deploy JCAD Jan25 New Issue,TRUE,GV,JE,x,,FALSE
Dermatology,Incyte/Opzelura,EP AD,"Monday, January 6, 2025",EP in AD Rinvoq Materials due ,TRUE,JE,JE,,,FALSE
Dermatology,None,JCAD Journal,"Monday, January 6, 2025",JCAD Feb25 Print Materials Due,TRUE,JE,JE,,,FALSE
Dermatology,None,JCADTV Unsponsored,"Wednesday, January 8, 2025",Deploy #1 Elbuluk JCAD Jan Journal Review ,TRUE,GV,JE,x,,FALSE
NHR,None,NHR,"Wednesday, January 8, 2025",Deploy NHR January 2025 eNL #1 (1/3),TRUE,DD,JE,x,Deadline missed by 1 day,FALSE
NHR,None,NHR,"Wednesday, January 8, 2025",NHR Jan-Feb Content Meeting,TRUE,"JE, DD, AT",JE,,,FALSE
Dermatology,AbbVie/Rinvoq,EP AD,"Thursday, January 9, 2025",EP in AD Test due to CMI,TRUE,GV,JE,,,FALSE
Oncology,AZ/Tagrisso,Custom Email,"Thursday, January 9, 2025",Tagrisso January CE (ADAURA) materials due,TRUE,"AV, AT",AV,,,FALSE
Dermatology,None,JCADTV Unsponsored,"Thursday, January 9, 2025",Film Dr. Graber JCAD Jan Journal Review,TRUE,JE,JE,,,FALSE
Dermatology,None,JCADTV Unsponsored,"Thursday, January 9, 2025",Film Dr. Issa JCAD Jan Journal Review,TRUE,JE,JE,,,FALSE
Dermatology,Skinceuticals,EP PIA,"Thursday, January 9, 2025",Skinceuticals print ad materials due,TRUE,JE,JE,,,FALSE
Dermatology,None,JCADTV Unsponsored,"Friday, January 10, 2025",Deploy #2 Elbuluk JCAD Jan Journal Review,TRUE,GV,JE,x,,FALSE
Dermatology,Skinceuticals,EP PIA,"Friday, January 10, 2025",Article draft sent to SkinCeuticals for feedback/approval,TRUE,JE,JE,,,FALSE
Dermatology,AbbVie/Rinvoq,EP AD,"Sunday, January 12, 2025",Film EP in AD Rinvoq Dr. Cameron,TRUE,JE,JE,,,FALSE
Oncology,Lilly/Verzenio,Custom Email,"Monday, January 13, 2025",Deploy Verzenio January CE,TRUE,"AV, AT",AV,x,,FALSE
Dermatology,Sun/Winlevi,Custom Email,"Tuesday, January 14, 2025",Deploy Custom Email,TRUE,GV,JE,x,,FALSE
Dermatology,None,JCAD Journal,"Wednesday, January 15, 2025",JCAD Feb25 Editorial Message Due,TRUE,JE,JE,,,FALSE
Dermatology,AbbVie/Rinvoq,EP AD,"Thursday, January 16, 2025",Confirm EP in AD Rinvoq deployment with CMI,TRUE,JE,JE,,,FALSE
Dermatology,AbbVie/Rinvoq,EP AD,"Thursday, January 16, 2025",Deploy #1 January EP in AD Rinvoq ,TRUE,GV,JE,x,KOL Michael Cameron ,FALSE
Oncology,AZ/Tagrisso,Custom Email,"Thursday, January 16, 2025",Deploy Tagrisso January CE (FLAURA2),TRUE,"AV, AT",AV,x,,FALSE
Dermatology,None,NPPA/PIA,"Thursday, January 16, 2025",NPPA Jan-Feb all galleys sent,TRUE,"AV, GV",AV,,,FALSE
Dermatology,Incyte/Opzelura,EP AD,"Friday, January 17, 2025",EP in AD Incyte Materials Due,TRUE,JE,JE,,,FALSE
Ophthalmology,None,CU Unsponsored,"Friday, January 17, 2025",Deploy CU in Ophthalmology January eNL,TRUE,"AV, AT",AV,x,Waiting on target list,FALSE
Other,None,CU Unsponsored,"Friday, January 17, 2025",Deploy CU in Allergy & Immunology January eNL,TRUE,"AV, AT",AV,x,,FALSE
Dermatology,None,JCAD Journal,"Friday, January 17, 2025",Formatting JCAD Mar25 Due,TRUE,DD,JE,,,FALSE
Dermatology,None,JCAD Journal,"Friday, January 17, 2025",JCAD Feb25 all galleys sent,TRUE,"JE, GV",JE,,,FALSE
Dermatology,None,JCADTV Unsponsored,"Friday, January 17, 2025",Deploy #1 Issa JCAD Jan Journal Review,TRUE,GV,JE,x,,FALSE
Dermatology,Skinceuticals,EP PIA,"Friday, January 17, 2025","JCAD staff updates article with feedback and edits, and returns formatted proof to Skinceuticals for final review",TRUE,JE,JE,,,FALSE
Dermatology,Skinceuticals,EP PIA,"Friday, January 17, 2025",SkinCeuticals submits feedback and changes and product images for final formatted version of article,TRUE,JE,JE,,,FALSE
Dermatology,AbbVie/Rinvoq,EP AD,"Monday, January 20, 2025",Deploy #2 January EP in AD Rinvoq ,TRUE,GV,JE,x,,FALSE
Dermatology,BI/Spevigo,CU GPP,"Monday, January 20, 2025",CU in GPP Materials due ,TRUE,JE,JE,,Missing static banner tagging,FALSE
Dermatology,Incyte/Opzelura,Conf Cov: AAD 2025,"Monday, January 20, 2025",Finalize AAD Speaker Selections,TRUE,JE,JE,,,FALSE
Oncology,Lilly/Verzenio,Custom Email,"Tuesday, January 21, 2025",Verzenio February CE materials due,TRUE,"AV, AT",AV,,,FALSE
Bariatrics,None,BT,"Tuesday, January 21, 2025",Deploy BA Spotlight on Technology Traffic Driver eNL,TRUE,AT,AV,x,,FALSE
Oncology,None,CU Unsponsored,"Tuesday, January 21, 2025",Deploy CU in Oncology eNL,TRUE,AT,AV,x,,FALSE
Other,None,CU Unsponsored,"Wednesday, January 22, 2025",Deploy CU in Cardiology eNL,TRUE,AT,AV,x,,FALSE
Dermatology,None,JCADTV Unsponsored,"Wednesday, January 22, 2025",Deploy #1 Graber JCAD Jan Journal Review,TRUE,GV,JE,x,,FALSE
Dermatology,None,JCADTV Unsponsored,"Wednesday, January 22, 2025",Deploy #2 Issa JCAD Jan Journal Review,TRUE,GV,JE,x,,FALSE
NHR,None,NHR,"Wednesday, January 22, 2025",Deploy NHR January 2025 eNL #2 (2/3),TRUE,DD,JE,x,,FALSE
Dermatology,Skinbetter,Biorewind Video Project,"Wednesday, January 22, 2025",Updated Video 1 due to SBS for review ,TRUE,"GV, JE",JE,,,FALSE
Dermatology,Skinceuticals,EP PIA,"Wednesday, January 22, 2025",SkinCeuticals Article manuscript finalized,TRUE,JE,JE,,,FALSE
Oncology,AZ/Tagrisso,Custom Email,"Thursday, January 23, 2025",Deploy Tagrisso January CE (ADAURA),TRUE,"AV, AT",AV,x,,FALSE
Oncology,AZ/Tagrisso,Custom Email,"Thursday, January 23, 2025",Tagrisso February CE (LAURA) materials due,TRUE,"AV, AT",AV,,,FALSE
Dermatology,None,JCAD Journal,"Thursday, January 23, 2025",Submit JCAD Feb to printer,TRUE,JE,JE,,,FALSE
Dermatology,None,NPPA/PIA,"Thursday, January 23, 2025",Submit NPPA/PIA Jan-Feb to printer,TRUE,"AV, JE","AV, JE",,,FALSE
Neurology,None,ICNS,"Friday, January 24, 2025",ICNS Jan-Mar25 article formatting due,TRUE,DD,AV,,,FALSE
Dermatology,None,JCADTV Unsponsored,"Friday, January 24, 2025",Deploy #2 Graber JCAD Jan Journal Review,TRUE,GV,JE,x,,FALSE
Dermatology,Skinbetter,Biorewind Video Project,"Friday, January 24, 2025",Finalized video slides due from Simon for video 2 and 3,TRUE,"GV, JE",JE,,,FALSE
Dermatology,None,JCAD Journal,"Monday, January 27, 2025",Send JDR JCAD Mar25 Articles,TRUE,JE,JE,,,FALSE
Dermatology,Incyte/Opzelura,Conf Cov: AAD 2025,"Tuesday, January 28, 2025",Send speaker list to Elle Richards at AAD,TRUE,JS,JE,,,FALSE
Oncology,Lilly/Verzenio,CU Breast Cancer,"Tuesday, January 28, 2025",CU in Breast Cancer February materials due,TRUE,"AV, AT",AV,,,FALSE
Dermatology,None,JCADTV Unsponsored,"Tuesday, January 28, 2025",Deploy #1 JCAD January Digital Highlights,TRUE,GV,JE,x,,FALSE
Dermatology,Incyte/Opzelura,EP AD,"Wednesday, January 29, 2025",EP in AD Test Due to Deerfield,TRUE,GV,JE,,,FALSE
Other,None,CU Unsponsored,"Wednesday, January 29, 2025",Deploy CU in Colorectal Surgery,TRUE,"AV, AT",AV,x,,FALSE
Oncology,AZ/Tagrisso,Custom Email,"Thursday, January 30, 2025",Tagrisso February CE (ADAURA) materials due,TRUE,"AV, AT",AV,,,FALSE
Dermatology,BI/Spevigo,EP GPP,"Thursday, January 30, 2025",EP in GPP Materials Due,TRUE,JE,JE,,Static banner tagging missing,FALSE
Dermatology,None,JCADTV Unsponsored,"Thursday, January 30, 2025",Deploy #2 JCAD January Digital Highlights,TRUE,GV,JE,x,,FALSE
Dermatology,Skinbetter,Biorewind Video Project,"Thursday, January 30, 2025",eNL and web page assets (ad banners) due from SBS,TRUE,"GV, JE",JE,,Received only missing high-res leaderboard,FALSE
Dermatology,BI/Spevigo,Custom Email,"Thursday, January 30, 2025",GPP Custom Email Materials Due,FALSE,JE,JE,,"3/11â€”William thought it was ready, but then said it was not due to necessary artwork changes. ",FALSE
Dermatology,None,JCAD Journal,"Friday, January 31, 2025",JCAD Feb Web Posts Complete,TRUE,"GV, DD",JE,,,FALSE
Dermatology,None,JCAD Journal,"Friday, January 31, 2025",Formatting Checks JCAD Mar25,TRUE,GV,JE,,,FALSE
Dermatology,None,JCAD Journal,"Friday, January 31, 2025",Copyedit JCAD Mar25 Due,TRUE,GV,JE,,,FALSE
Dermatology,None,JCADTV Unsponsored,"Friday, January 31, 2025",Deploy JCAD Dialogues and Reviews,TRUE,GV,JE,,Both episodes: Antibiotic AEs and vitiligo highlights,FALSE
Dermatology,Skinbetter,Biorewind Video Project,"Friday, January 31, 2025",eNL template to SBS for review,TRUE,"GV, JE",JE,,"Completed February 4, 2025",FALSE
Dermatology,Ortho/Cabtreo,NPPA/PIA,"Saturday, February 1, 2025",Place Cabtreo 728x90 and 300x250 ads on NPPA homepage,TRUE,AV,AV,,Tags were extended through February,FALSE
Dermatology,Incyte/Opzelura,EP VIT,"Monday, February 3, 2025",EP in VIT Incyte Materials Due,TRUE,JE,JE,,,FALSE
Dermatology,None,JCAD Journal,"Monday, February 3, 2025",JCAD Mar25 Print Materials Due,TRUE,JE,JE,,,FALSE
Dermatology,None,JCADTV Unsponsored,"Monday, February 3, 2025",Deploy JCAD Feb25 New Issue eNL,TRUE,GV,JE,x,,FALSE
NHR,None,NHR,"Monday, February 3, 2025",NHR Jan-Feb Freelancer Due Date,TRUE,JE,JE,,,FALSE
NHR,None,NHR,"Monday, February 3, 2025",NHR Jan-Feb written and formatted articles due to Julia ,TRUE,"JE, AT, DD",JE,,,FALSE
Dermatology,Beiersdorf/Eczema,NPPA/PIA,"Tuesday, February 4, 2025",Deploy NPPA Jan-Feb New Issue eNL,TRUE,GV,AV,x,Include PIA list,FALSE
Oncology,Lilly/Verzenio,Custom Email,"Tuesday, February 4, 2025",Deploy Verzenio February CE,TRUE,"AV, AT",AV,x,,FALSE
Other,None,CU Unsponsored,"Tuesday, February 4, 2025",Deploy CU in Diabetes,TRUE,"AV, AT",AV,x,,FALSE
Dermatology,Skinbetter,Biorewind Video Project,"Tuesday, February 4, 2025",Videos 2 sent to SBS for review ,TRUE,"GV, JE",JE,,,FALSE
Dermatology,Incyte/Opzelura,EP AD,"Wednesday, February 5, 2025",Deploy EP in AD (Dermatology),TRUE,GV,JE,x,,FALSE
Dermatology,Incyte/Opzelura,EP AD,"Wednesday, February 5, 2025",Deploy EP in AD (NPPA),TRUE,GV,AV,x,Same video as Derm audience,FALSE
NHR,None,NHR,"Wednesday, February 5, 2025",Deploy NHR February 2025 eNL #1 (3/3),TRUE,DD,JE,x,,FALSE
Dermatology,Skinbetter,Biorewind Video Project,"Wednesday, February 5, 2025",Videos 3 sent to SBS for review ,TRUE,"GV, JE",JE,,,FALSE
Oncology,AZ/Tagrisso,Custom Email,"Thursday, February 6, 2025",Deploy Tagrisso February CE (LAURA),TRUE,"AV, AT",AV,x,,FALSE
Dermatology,BI/Spevigo,CU GPP,"Thursday, February 6, 2025",Test due CU in GPP OMD,TRUE,GV,JE,,Original due date 1/20/2025; delay due to missing static banner tagging,FALSE
Dermatology,None,JCADTV Unsponsored,"Thursday, February 6, 2025",Deploy #1 Gottlieb Masterclasses Promo,TRUE,"GV, JE",JE,x,,FALSE
Dermatology,BI/Spevigo,Custom Email,"Thursday, February 6, 2025",GPP Custom Email test due to OMD,FALSE,JE,JE,,,FALSE
Dermatology,Incyte/Opzelura,Conf Cov: AAD 2025,"Friday, February 7, 2025",Send All AAD Speaker Interview Invitations,TRUE,KH,JE,,,FALSE
Dermatology,Skinbetter,Biorewind Video Project,"Friday, February 7, 2025",eNL review completed by SBS,TRUE,"GV, JE",JE,,,FALSE
Other,None,CU Unsponsored,"Monday, February 10, 2025",Deploy CU in Ophthalmology February eNL,TRUE,"AV, AT",AV,x,,FALSE
Dermatology,None,JCADTV Unsponsored,"Monday, February 10, 2025",Deploy #2 Gottlieb Masterclasses Promo,TRUE,"GV, JE",JE,x,,FALSE
Dermatology,BI/Spevigo,EP GPP,"Tuesday, February 11, 2025",Test due EP in GPP,TRUE,"JE, GV",JE,,,FALSE
Oncology,Exelixis/Cabometyx,EP RCC,"Tuesday, February 11, 2025",EP in RCC February materials due,TRUE,"AV, AT",AV,,,FALSE
Oncology,Lilly/Verzenio,CU Breast Cancer,"Tuesday, February 11, 2025",Deploy CU in Breast Cancer February,TRUE,"AV, AT",AV,x,,FALSE
Dermatology,Skinbetter,Biorewind Video Project,"Tuesday, February 11, 2025",All 3 edited videos finalized and approved by SBS for deployment ,TRUE,"GV, JE",JE,,,FALSE
Dermatology,Skinbetter,Biorewind Video Project,"Tuesday, February 11, 2025",Video landing page completed ,TRUE,"GV, JE",JE,,,FALSE
Dermatology,Sun/Winlevi,Custom Email,"Tuesday, February 11, 2025",Deploy Custom Email,TRUE,GV,JE,x,,FALSE
Dermatology,Skinbetter,Biorewind Video Project,"Wednesday, February 12, 2025",Deploy #1 Video 1,TRUE,"GV, JE",JE,x,Include PIA list,FALSE
Oncology,AZ/Tagrisso,Custom Email,"Thursday, February 13, 2025",Deploy Tagrisso February CE (ADAURA),TRUE,"AV, AT",AV,x,,FALSE
Dermatology,BI/Spevigo,CU GPP,"Thursday, February 13, 2025",Deploy #1 CU in GPP January,TRUE,GV,JE,x,TEST APPROVED; Moved from original date 1/21/2025 due to late agency materials,FALSE
Dermatology,None,JCAD Journal,"Thursday, February 13, 2025",JCAD Mar25 All Galleys Sent,TRUE,"JE, GV",JE,,,FALSE
NHR,None,NHR,"Thursday, February 13, 2025",Submit NHR Jan-Feb25,TRUE,JE,JE,,,FALSE
Dermatology,BI/Spevigo,Custom Email,"Thursday, February 13, 2025",Deploy GPP Custom Email,FALSE,GV,JE,x,,FALSE
Dermatology,Arcutis/Zoryve,NPPA/PIA,"Friday, February 14, 2025",Arcutis Corner March-April article due,TRUE,AV,AV,,Extended from 2/1/25,FALSE
Dermatology,None,JCAD Journal,"Saturday, February 15, 2025",JCAD Mar25 Editorial Message Due,TRUE,JE,JE,,No editorial message from JDR this month ,FALSE
Other,None,CU Unsponsored,"Monday, February 17, 2025",Deploy CU in Gastroenterology,TRUE,"AV, AT",AV,x,,FALSE
Dermatology,BI/Spevigo,EP GPP,"Tuesday, February 18, 2025",Deploy #1 EP in GPP ,TRUE,GV,JE,x,,FALSE
Bariatrics,None,BT,"Tuesday, February 18, 2025",Spotlight on Technology December 2024 Traffic Driver eNL,TRUE,"AV, AT",AV,x,Last one in program (these were not required),FALSE
Dermatology,Skinbetter,Biorewind Video Project,"Tuesday, February 18, 2025",Deploy #2 Video 1,TRUE,"GV, JE",JE,x,,FALSE
Dermatology,BI/Spevigo,CU GPP,"Wednesday, February 19, 2025",Deploy #2 CU in GPP January,TRUE,GV,JE,x,Moved from original date 1/23/2025,FALSE
NHR,None,NHR,"Wednesday, February 19, 2025",NHR Mar-Apr25 Content Meeting,TRUE,"JE, DD, AT",JE,,,FALSE
Dermatology,Skinbetter,Biorewind Video Project,"Wednesday, February 19, 2025",Deploy #1 Video 2,TRUE,"GV, JE",JE,x,Include PIA list,FALSE
Oncology,AZ/Calquence,Hot Topics- Oncology,"Thursday, February 20, 2025",HT in MCL March materials due,TRUE,"AV, AT",AV,,,FALSE
Oncology,AZ/One Lung,Hot Topics- Oncology,"Thursday, February 20, 2025",HT in NSCLC March materials due,TRUE,"AV, AT",AV,,,FALSE
Oncology,AZ/Tagrisso,Custom Email,"Thursday, February 20, 2025",Tagrisso March CE (ADAURA) materials due,TRUE,"AV, AT",AV,,,FALSE
Dermatology,None,NPPA/PIA,"Thursday, February 20, 2025",CMAC Instagram Live- How to Get Published feat. Austin,TRUE,AV,AV,,2 p.m. ET,FALSE
Dermatology,None,JCAD Journal,"Thursday, February 20, 2025",JCAD April Formatting Due,TRUE,DD,JE,,Waiting on reviewer response from Bunick,FALSE
Dermatology,None,JCAD Journal,"Thursday, February 20, 2025",Send JDR JCAD Apr25 Articles,TRUE,JE,JE,,,FALSE
Dermatology,Incyte/Opzelura,EP VIT,"Friday, February 21, 2025",AAD Conference Coverage eNL Test Due to Deerfield,TRUE,"JE, GV",JE,,Test approved by Matt F Deerfield 2/21,FALSE
Dermatology,Incyte/Opzelura,Conf Cov: AAD 2025,"Friday, February 21, 2025",AAD eNL preview due to AAD Team ,TRUE,"JE, GV",JE,,,FALSE
Dermatology,Incyte/Opzelura,Conf Cov: AAD 2025,"Friday, February 21, 2025",AAD landing page preview due to AAD Team ,TRUE,"JE, GV",JE,,,FALSE
Dermatology,None,JCAD Journal,"Friday, February 21, 2025",Submit JCAD Mar25,TRUE,JE,JE,,Moved from 1/19 to accomodate new UCB materials. ,FALSE
Dermatology,Skinbetter,Biorewind Video Project,"Friday, February 21, 2025",Deploy #2 Video 2,TRUE,"GV, JE",JE,x,,FALSE
Other,None,CU Unsponsored,"Monday, February 24, 2025",Deploy CU in Oncology February,TRUE,"AV, AT",AV,x,,FALSE
Ophthalmology,Genentech/Vabsymo,Custom Email,"Tuesday, February 25, 2025",Vabysmo March Custom Email materials due,TRUE,"AV, AT",AV,,,FALSE
Dermatology,Incyte/Opzelura,EP VIT,"Tuesday, February 25, 2025",EP in VIT Test Due to Deerfield,TRUE,"JE, GV",JE,,TEST APPROVED 2/25,FALSE
Dermatology,Incyte/Opzelura,Conf Cov: AAD 2025,"Tuesday, February 25, 2025",AAD Conference Coverage Materials Due,TRUE,JE,JE,,,FALSE
Oncology,Lilly/Verzenio,Custom Email,"Tuesday, February 25, 2025",Verzenio March CE materials due,TRUE,"AV, AT",AV,,Need target list,FALSE
Bariatrics,Medtronic/Signia,BT,"Tuesday, February 25, 2025",BT Medtronic eNL materials due,TRUE,AT,AV,,,FALSE
Dermatology,None,JCADTV Unsponsored,"Tuesday, February 25, 2025",Deploy JCAD Feb Digital Highlights,TRUE,GV,JE,x,,FALSE
Dermatology,None,JCAD Journal,"Tuesday, February 25, 2025",JCAD April Formatting Checks Complete,TRUE,DD,JE,,,FALSE
Dermatology,Incyte/Opzelura,EP VIT,"Wednesday, February 26, 2025",EP in Vitiligo Video Recording,TRUE,AV,AV,,"3 pm ET, KOL: Jennifer Silva",FALSE
Dermatology,Skinbetter,Biorewind Video Project,"Wednesday, February 26, 2025",Deploy #1 Video 3,TRUE,"GV, JE",JE,x,Include PIA list,FALSE
Oncology,AZ/One Lung,Hot Topics- Oncology,"Thursday, February 27, 2025",Submit HT in NSCLC March to printer,TRUE,"AV, AT",AV,,,FALSE
Dermatology,None,JCAD Journal,"Friday, February 28, 2025",JCAD April Copyedit complete,TRUE,GV,JE,,,FALSE
Dermatology,Skinbetter,Biorewind Video Project,"Friday, February 28, 2025",Deploy #2 Video 3,TRUE,"GV, JE",JE,x,,FALSE
Dermatology,AbbVie/Rinvoq,EP AD,"Monday, March 3, 2025",EP in AD Materials Due ,TRUE,JE,JE,,NEW Static Banner Tagging received from CMI,FALSE
Dermatology,BI/Spevigo,CU GPP,"Monday, March 3, 2025",CU in GPP Materials Due ,TRUE,JE,JE,,Pickup materials confirmed by OMD on 3/3,FALSE
Neurology,None,CU Unsponsored,"Monday, March 3, 2025",Deploy CU in Neuroscience,TRUE,"AV, AT",AV,x,,FALSE
Dermatology,None,JCAD Journal,"Monday, March 3, 2025",JCAD Apr25 Print Materials Due,TRUE,JE,JE,,Missing Biofrontera,FALSE
Dermatology,None,NPPA/PIA,"Tuesday, March 4, 2025",CTDerm Webinar- How to Get Published feat. Austin,TRUE,AV,AV,,6 p.m. ET; Zoom link,FALSE
